stay_date,room_nights,occupied_apartments,apartment_bed_rate_pairs,avg_bed_rate,sum_bed_rate,occupancy_rate
2024-03-27,21,"[2, 0, 3, 6, 7, 9, 5]","[(2, 77248), (0, 279805), (3, 81878), (6, 73642), (7, 136314), (9, 148164), (5, 203920)]",142996,1000971,0.3684
2024-03-28,28,"[7, 2, 9, 5, 0, 8, 6, 3]","[(7, 136314), (2, 194575), (9, 148164), (5, 203920), (0, 280456), (8, 232730), (6, 277676), (3, 158808)]",204080,1632643,0.4912
2024-03-29,39,"[2, 9, 5, 0, 8, 6, 7, 1, 4, 11, 3, 12]","[(2, 194575), (9, 148164), (5, 203920), (0, 280456), (8, 232730), (6, 277676), (7, 278131), (1, 232671), (4, 187193), (11, 239193), (3, 158808), (12, 356166)]",232474,2789683,0.6842
2024-03-30,39,"[2, 9, 5, 0, 8, 6, 7, 1, 4, 11, 3, 12]","[(2, 194575), (9, 148164), (5, 203920), (0, 280456), (8, 232730), (6, 277676), (7, 278131), (1, 232671), (4, 187193), (11, 239193), (3, 158808), (12, 356166)]",232474,2789683,0.6842
2024-03-31,26,"[6, 7, 1, 4, 11, 3, 0, 12, 9]","[(6, 277676), (7, 278131), (1, 232671), (4, 187193), (11, 239193), (3, 158808), (0, 136649), (12, 356166), (9, 109319)]",219534,1975806,0.4561
2024-04-01,15,"[3, 0, 12, 1, 9, 4, 8]","[(3, 158808), (0, 136649), (12, 356166), (1, 116737), (9, 109319), (4, 164350), (8, 213818)]",179407,1255847,0.2632
2024-04-02,11,"[12, 1, 9, 4, 0, 8]","[(12, 356166), (1, 116737), (9, 109319), (4, 164350), (0, 149479), (8, 213818)]",184978,1109869,0.193
2024-04-03,17,"[9, 4, 3, 1, 0, 11, 8]","[(9, 109319), (4, 164350), (3, 138015), (1, 237196), (0, 149479), (11, 144767), (8, 213818)]",165278,1156944,0.2982
2024-04-04,21,"[3, 1, 0, 11, 9, 8, 4, 12]","[(3, 138015), (1, 237196), (0, 149479), (11, 144767), (9, 159137), (8, 213818), (4, 136947), (12, 240836)]",177524,1420195,0.3684
2024-04-05,21,"[3, 1, 0, 11, 9, 8, 4, 12]","[(3, 138015), (1, 237196), (0, 149479), (11, 144767), (9, 159137), (8, 213818), (4, 136947), (12, 240836)]",177524,1420195,0.3684
2024-04-06,23,"[9, 8, 0, 11, 1, 4, 3, 12, 5]","[(9, 159137), (8, 213818), (0, 148362), (11, 95236), (1, 198038), (4, 136947), (3, 166842), (12, 240836), (5, 131475)]",165632,1490691,0.4035
2024-04-07,18,"[8, 0, 11, 1, 4, 3, 12, 5]","[(8, 213818), (0, 148362), (11, 95236), (1, 198038), (4, 136947), (3, 166842), (12, 240836), (5, 131475)]",166444,1331554,0.3158
2024-04-08,13,"[1, 4, 3, 12, 5, 8, 0]","[(1, 198038), (4, 136947), (3, 166842), (12, 240836), (5, 131475), (8, 174548), (0, 247201)]",185127,1295887,0.2281
2024-04-09,13,"[3, 12, 5, 8, 1, 7, 0]","[(3, 166842), (12, 240836), (5, 131475), (8, 174548), (1, 237448), (7, 164982), (0, 247201)]",194762,1363332,0.2281
2024-04-10,13,"[5, 8, 12, 1, 3, 7, 0]","[(5, 131475), (8, 174548), (12, 178592), (1, 237448), (3, 154819), (7, 164982), (0, 247201)]",184152,1289065,0.2281
2024-04-11,20,"[8, 12, 1, 3, 7, 0, 4, 2]","[(8, 174548), (12, 178592), (1, 237448), (3, 154819), (7, 164982), (0, 247201), (4, 118036), (2, 187125)]",182844,1462751,0.3509
2024-04-12,33,"[1, 3, 7, 0, 4, 8, 5, 12, 2, 9, 6, 11]","[(1, 237448), (3, 154819), (7, 164982), (0, 247201), (4, 118036), (8, 262087), (5, 144091), (12, 130681), (2, 187125), (9, 113781), (6, 180126), (11, 113000)]",171115,2053377,0.5789
2024-04-13,33,"[4, 8, 5, 12, 2, 9, 3, 6, 7, 1, 0, 11]","[(4, 118036), (8, 262087), (5, 144091), (12, 130681), (2, 187125), (9, 113781), (3, 73232), (6, 180126), (7, 103574), (1, 217244), (0, 203346), (11, 113000)]",153860,1846323,0.5789
2024-04-14,30,"[2, 9, 3, 6, 7, 1, 5, 12, 8, 0, 11]","[(2, 187125), (9, 113781), (3, 73232), (6, 180126), (7, 103574), (1, 217244), (5, 78271), (12, 118550), (8, 106391), (0, 203346), (11, 113000)]",135876,1494640,0.5263
2024-04-15,20,"[6, 7, 1, 5, 12, 8, 0, 4, 11]","[(6, 180126), (7, 103574), (1, 217244), (5, 78271), (12, 118550), (8, 106391), (0, 203346), (4, 90509), (11, 113000)]",134557,1211011,0.3509
2024-04-16,17,"[1, 5, 12, 8, 0, 4, 9, 11]","[(1, 217244), (5, 78271), (12, 118550), (8, 106391), (0, 203346), (4, 90509), (9, 164332), (11, 113000)]",136455,1091643,0.2982
2024-04-17,16,"[12, 8, 0, 4, 9, 3, 11]","[(12, 118550), (8, 106391), (0, 203346), (4, 90509), (9, 164332), (3, 244372), (11, 113000)]",148643,1040500,0.2807
2024-04-18,26,"[0, 4, 1, 9, 5, 8, 6, 7, 3, 11]","[(0, 203346), (4, 90509), (1, 204090), (9, 164332), (5, 136773), (8, 245744), (6, 126825), (7, 116309), (3, 244372), (11, 113000)]",164530,1645300,0.4561
2024-04-19,31,"[1, 9, 5, 8, 6, 2, 7, 0, 3, 11]","[(1, 204090), (9, 164332), (5, 136773), (8, 245744), (6, 126825), (2, 113353), (7, 116309), (0, 127278), (3, 244372), (11, 113000)]",159208,1592076,0.5439
2024-04-20,32,"[6, 2, 7, 0, 3, 11, 8, 1, 12, 9, 4]","[(6, 126825), (2, 113353), (7, 116309), (0, 127278), (3, 244372), (11, 113000), (8, 103056), (1, 134194), (12, 128301), (9, 142826), (4, 100130)]",131786,1449644,0.5614
2024-04-21,16,"[3, 11, 8, 1, 12, 9, 4]","[(3, 244372), (11, 113000), (8, 103056), (1, 134194), (12, 128301), (9, 142826), (4, 100130)]",137983,965879,0.2807
2024-04-22,13,"[8, 1, 5, 12, 9, 4, 0]","[(8, 103056), (1, 134194), (5, 168589), (12, 128301), (9, 142826), (4, 100130), (0, 95308)]",124629,872404,0.2281
2024-04-23,13,"[8, 1, 5, 12, 9, 4, 0]","[(8, 103056), (1, 134194), (5, 168589), (12, 128301), (9, 142826), (4, 100130), (0, 95308)]",124629,872404,0.2281
2024-04-24,13,"[1, 5, 12, 9, 4, 0, 7]","[(1, 134194), (5, 168589), (12, 128301), (9, 142826), (4, 100130), (0, 95308), (7, 167453)]",133829,936801,0.2281
2024-04-25,20,"[12, 9, 4, 0, 3, 11, 1, 7]","[(12, 128301), (9, 142826), (4, 100130), (0, 95308), (3, 153493), (11, 207099), (1, 150488), (7, 167453)]",143137,1145098,0.3509
2024-04-26,37,"[8, 3, 9, 11, 0, 6, 2, 1, 5, 7]","[(8, 176138), (3, 153493), (9, 152032), (11, 207099), (0, 218638), (6, 226322), (2, 155942), (1, 150488), (5, 152282), (7, 167453)]",175989,1759887,0.6491
2024-04-27,42,"[3, 9, 11, 0, 6, 2, 1, 12, 5, 7, 8, 4]","[(3, 153493), (9, 152032), (11, 207099), (0, 218638), (6, 226322), (2, 155942), (1, 150488), (12, 163198), (5, 152282), (7, 167453), (8, 197750), (4, 120880)]",172131,2065577,0.7368
2024-04-28,29,"[6, 2, 1, 12, 5, 7, 8, 4]","[(6, 226322), (2, 155942), (1, 150488), (12, 163198), (5, 152282), (7, 167453), (8, 197750), (4, 120880)]",166789,1334315,0.5088
2024-04-29,28,"[8, 1, 12, 5, 9, 6, 2, 7, 0, 4]","[(8, 197750), (1, 118452), (12, 134418), (5, 90318), (9, 95250), (6, 79258), (2, 105624), (7, 141924), (0, 110946), (4, 120880)]",119482,1194820,0.4912
2024-04-30,28,"[8, 1, 12, 5, 9, 6, 2, 7, 0, 4]","[(8, 197750), (1, 118452), (12, 134418), (5, 90318), (9, 95250), (6, 79258), (2, 105624), (7, 141924), (0, 110946), (4, 120880)]",119482,1194820,0.4912
2024-05-01,29,"[12, 5, 9, 6, 2, 7, 0, 1, 4, 3]","[(12, 134418), (5, 90318), (9, 95250), (6, 79258), (2, 105624), (7, 141924), (0, 110946), (1, 304201), (4, 120880), (3, 221129)]",140395,1403948,0.5088
2024-05-02,39,"[7, 0, 1, 4, 3, 12, 9, 11, 5, 2, 6, 8]","[(7, 141924), (0, 110946), (1, 304201), (4, 120880), (3, 221129), (12, 173832), (9, 483820), (11, 307095), (5, 266732), (2, 143509), (6, 195173), (8, 795742)]",272082,3264983,0.6842
2024-05-03,36,"[1, 4, 3, 12, 9, 11, 5, 2, 0, 6, 8, 7]","[(1, 304201), (4, 120880), (3, 221129), (12, 173832), (9, 483820), (11, 307095), (5, 266732), (2, 143509), (0, 413733), (6, 195173), (8, 795742), (7, 269518)]",307947,3695364,0.6316
2024-05-04,37,"[12, 9, 11, 5, 2, 0, 6, 8, 4, 1, 7, 3]","[(12, 173832), (9, 483820), (11, 307095), (5, 266732), (2, 143509), (0, 413733), (6, 195173), (8, 795742), (4, 94991), (1, 168692), (7, 269518), (3, 116201)]",285753,3429038,0.6491
2024-05-05,19,"[6, 8, 4, 1, 7, 3]","[(6, 195173), (8, 795742), (4, 94991), (1, 168692), (7, 269518), (3, 116201)]",273386,1640317,0.3333
2024-05-06,10,"[7, 12, 3, 4, 8]","[(7, 269518), (12, 95208), (3, 116201), (4, 137166), (8, 785012)]",280621,1403105,0.1754
2024-05-07,14,"[12, 3, 7, 9, 4, 0, 8]","[(12, 95208), (3, 116201), (7, 127892), (9, 134418), (4, 137166), (0, 221030), (8, 785012)]",230990,1616927,0.2456
2024-05-08,26,"[3, 7, 9, 4, 0, 2, 1, 12, 5, 8]","[(3, 116201), (7, 127892), (9, 134418), (4, 137166), (0, 221030), (2, 216285), (1, 524379), (12, 310694), (5, 337947), (8, 785012)]",291102,2911024,0.4561
2024-05-09,34,"[3, 7, 9, 4, 0, 2, 1, 12, 5, 6, 8]","[(3, 116201), (7, 127892), (9, 134418), (4, 137166), (0, 221030), (2, 216285), (1, 524379), (12, 310694), (5, 337947), (6, 234952), (8, 785012)]",285998,3145976,0.5965
2024-05-10,39,"[3, 4, 0, 2, 1, 12, 5, 6, 8, 9, 11]","[(3, 188028), (4, 137166), (0, 221030), (2, 216285), (1, 524379), (12, 310694), (5, 337947), (6, 234952), (8, 785012), (9, 282222), (11, 430792)]",333501,3668507,0.6842
2024-05-11,40,"[3, 2, 1, 12, 5, 0, 6, 8, 9, 7, 4, 11]","[(3, 188028), (2, 216285), (1, 524379), (12, 310694), (5, 337947), (0, 603987), (6, 234952), (8, 785012), (9, 282222), (7, 273911), (4, 296922), (11, 430792)]",373761,4485131,0.7018
2024-05-12,35,"[3, 6, 8, 9, 7, 2, 4, 5, 12, 11, 1]","[(3, 188028), (6, 234952), (8, 785012), (9, 282222), (7, 273911), (2, 80065), (4, 296922), (5, 108390), (12, 93032), (11, 430792), (1, 132047)]",264125,2905373,0.614
2024-05-13,22,"[0, 3, 2, 4, 5, 12, 11, 1]","[(0, 126238), (3, 188028), (2, 80065), (4, 296922), (5, 108390), (12, 93032), (11, 430792), (1, 132047)]",181939,1455514,0.386
2024-05-14,27,"[0, 8, 9, 6, 3, 4, 5, 12, 11, 1]","[(0, 126238), (8, 252066), (9, 92029), (6, 83737), (3, 188028), (4, 296922), (5, 108390), (12, 93032), (11, 430792), (1, 132047)]",180328,1803281,0.4737
2024-05-15,26,"[0, 5, 8, 9, 6, 4, 3, 12, 11, 1]","[(0, 126238), (5, 243904), (8, 252066), (9, 92029), (6, 83737), (4, 416719), (3, 188028), (12, 190968), (11, 430792), (1, 132047)]",215653,2156528,0.4561
2024-05-16,28,"[5, 8, 9, 6, 2, 4, 7, 3, 12]","[(5, 243904), (8, 252066), (9, 92029), (6, 83737), (2, 206368), (4, 416719), (7, 244090), (3, 188028), (12, 190968)]",213101,1917909,0.4912
2024-05-17,38,"[2, 4, 8, 7, 6, 1, 11, 0, 9, 3, 12]","[(2, 206368), (4, 416719), (8, 175078), (7, 244090), (6, 249314), (1, 244204), (11, 209683), (0, 476149), (9, 185020), (3, 188028), (12, 190968)]",253238,2785621,0.6667
2024-05-18,40,"[2, 4, 8, 7, 6, 1, 11, 5, 0, 9, 3, 12]","[(2, 206368), (4, 416719), (8, 175078), (7, 244090), (6, 249314), (1, 244204), (11, 209683), (5, 207340), (0, 476149), (9, 185020), (3, 188028), (12, 190968)]",249413,2992961,0.7018
2024-05-19,37,"[7, 6, 1, 11, 5, 0, 8, 9, 3, 2, 12, 4]","[(7, 244090), (6, 249314), (1, 244204), (11, 209683), (5, 207340), (0, 476149), (8, 302691), (9, 185020), (3, 188028), (2, 122493), (12, 190968), (4, 133187)]",229431,2753167,0.6491
2024-05-20,18,"[8, 9, 3, 2, 12, 4, 1, 7]","[(8, 302691), (9, 185020), (3, 188028), (2, 122493), (12, 190968), (4, 133187), (1, 190150), (7, 450935)]",220434,1763472,0.3158
2024-05-21,18,"[3, 2, 12, 4, 1, 8, 9, 7]","[(3, 188028), (2, 122493), (12, 190968), (4, 133187), (1, 190150), (8, 299177), (9, 229298), (7, 450935)]",225530,1804236,0.3158
2024-05-22,15,"[12, 4, 1, 2, 8, 9, 7]","[(12, 190968), (4, 133187), (1, 190150), (2, 82750), (8, 299177), (9, 229298), (7, 450935)]",225209,1576465,0.2632
2024-05-23,20,"[1, 2, 8, 9, 5, 6, 0, 12, 7]","[(1, 190150), (2, 82750), (8, 299177), (9, 229298), (5, 350465), (6, 220036), (0, 214734), (12, 383598), (7, 450935)]",269016,2421143,0.3509
2024-05-24,22,"[9, 5, 6, 0, 8, 3, 12, 4, 2, 7]","[(9, 229298), (5, 350465), (6, 220036), (0, 214734), (8, 337848), (3, 248403), (12, 383598), (4, 174102), (2, 403960), (7, 450935)]",301338,3013379,0.386
2024-05-25,27,"[9, 5, 6, 0, 8, 3, 12, 4, 2, 11, 1, 7]","[(9, 229298), (5, 350465), (6, 220036), (0, 214734), (8, 337848), (3, 248403), (12, 383598), (4, 174102), (2, 403960), (11, 169444), (1, 153226), (7, 450935)]",278004,3336049,0.4737
2024-05-26,24,"[0, 8, 3, 12, 5, 4, 2, 11, 6, 1, 7]","[(0, 214734), (8, 337848), (3, 248403), (12, 383598), (5, 141501), (4, 174102), (2, 403960), (11, 169444), (6, 70686), (1, 153226), (7, 450935)]",249858,2748437,0.4211
2024-05-27,26,"[3, 12, 5, 4, 2, 11, 9, 6, 1, 0, 7]","[(3, 248403), (12, 383598), (5, 141501), (4, 174102), (2, 403960), (11, 169444), (9, 122333), (6, 70686), (1, 153226), (0, 238159), (7, 450935)]",232395,2556347,0.4561
2024-05-28,30,"[2, 11, 9, 6, 5, 1, 0, 8, 4, 3, 7]","[(2, 403960), (11, 169444), (9, 122333), (6, 70686), (5, 141501), (1, 153226), (0, 238159), (8, 374668), (4, 95887), (3, 144485), (7, 450935)]",215026,2365284,0.5263
2024-05-29,25,"[5, 12, 1, 0, 8, 4, 6, 3, 7]","[(5, 141501), (12, 142505), (1, 153226), (0, 238159), (8, 374668), (4, 95887), (6, 285122), (3, 144485), (7, 450935)]",225165,2026488,0.4386
2024-05-30,37,"[12, 1, 0, 8, 4, 11, 6, 2, 9, 3, 5, 7]","[(12, 142505), (1, 153226), (0, 238159), (8, 374668), (4, 95887), (11, 177936), (6, 285122), (2, 195026), (9, 262130), (3, 144485), (5, 329109), (7, 450935)]",237432,2849188,0.6491
2024-05-31,37,"[8, 4, 11, 12, 1, 6, 2, 9, 3, 5, 0, 7]","[(8, 374668), (4, 95887), (11, 177936), (12, 190416), (1, 173525), (6, 285122), (2, 195026), (9, 262130), (3, 144485), (5, 329109), (0, 172815), (7, 450935)]",237671,2852054,0.6491
2024-06-01,33,"[6, 2, 9, 3, 8, 11, 5, 0, 12, 4, 1, 7]","[(6, 285122), (2, 195026), (9, 262130), (3, 144485), (8, 280548), (11, 265991), (5, 329109), (0, 172815), (12, 154125), (4, 97771), (1, 182016), (7, 450935)]",235006,2820073,0.5789
2024-06-02,22,"[5, 0, 12, 4, 1, 7, 8, 6, 9, 2]","[(5, 329109), (0, 172815), (12, 154125), (4, 97771), (1, 182016), (7, 450935), (8, 422216), (6, 113955), (9, 124434), (2, 67505)]",211488,2114881,0.386
2024-06-03,21,"[12, 4, 1, 7, 8, 6, 9, 2, 0]","[(12, 154125), (4, 97771), (1, 182016), (7, 450935), (8, 422216), (6, 113955), (9, 124434), (2, 67505), (0, 120381)]",192593,1733338,0.3684
2024-06-04,16,"[7, 8, 6, 9, 2, 0, 5, 4]","[(7, 450935), (8, 422216), (6, 113955), (9, 124434), (2, 67505), (0, 120381), (5, 197864), (4, 153995)]",206411,1651285,0.2807
2024-06-05,19,"[7, 9, 2, 0, 5, 4, 8, 12, 3]","[(7, 450935), (9, 124434), (2, 67505), (0, 120381), (5, 197864), (4, 153995), (8, 111271), (12, 219174), (3, 78687)]",169361,1524246,0.3333
2024-06-06,25,"[7, 2, 5, 4, 8, 12, 3, 1, 9, 6]","[(7, 450935), (2, 67505), (5, 197864), (4, 153995), (8, 111271), (12, 219174), (3, 78687), (1, 191496), (9, 153877), (6, 202352)]",182716,1827156,0.4386
2024-06-07,30,"[7, 4, 12, 3, 1, 9, 6, 2, 11, 0, 5, 8]","[(7, 450935), (4, 153995), (12, 219174), (3, 78687), (1, 191496), (9, 153877), (6, 202352), (2, 242361), (11, 178182), (0, 197164), (5, 141113), (8, 193706)]",200254,2403042,0.5263
2024-06-08,30,"[7, 12, 3, 9, 6, 2, 11, 0, 5, 8, 4]","[(7, 450935), (12, 98945), (3, 78687), (9, 153877), (6, 202352), (2, 242361), (11, 178182), (0, 197164), (5, 141113), (8, 193706), (4, 169134)]",191496,2106456,0.5263
2024-06-09,30,"[7, 12, 9, 1, 3, 6, 2, 11, 0, 5, 8]","[(7, 450935), (12, 98945), (9, 151813), (1, 209990), (3, 78687), (6, 202352), (2, 242361), (11, 178182), (0, 197164), (5, 141113), (8, 193706)]",195023,2145248,0.5263
2024-06-10,23,"[7, 12, 9, 1, 2, 3, 0, 5, 8]","[(7, 450935), (12, 98945), (9, 151813), (1, 209990), (2, 96728), (3, 78687), (0, 197164), (5, 141113), (8, 193706)]",179898,1619081,0.4035
2024-06-11,22,"[7, 9, 1, 2, 3, 6, 4, 5, 8]","[(7, 450935), (9, 151813), (1, 209990), (2, 96728), (3, 129621), (6, 183082), (4, 223483), (5, 141113), (8, 193706)]",197830,1780471,0.386
2024-06-12,28,"[7, 9, 1, 2, 3, 6, 4, 12, 11, 5, 0, 8]","[(7, 450935), (9, 151813), (1, 209990), (2, 96728), (3, 129621), (6, 183082), (4, 223483), (12, 158066), (11, 187348), (5, 133884), (0, 182198), (8, 193706)]",191738,2300854,0.4912
2024-06-13,26,"[7, 9, 1, 2, 3, 6, 4, 12, 11, 5, 0]","[(7, 450935), (9, 151813), (1, 209990), (2, 96728), (3, 129621), (6, 183082), (4, 223483), (12, 158066), (11, 187348), (5, 133884), (0, 182198)]",191559,2107148,0.4561
2024-06-14,30,"[7, 9, 1, 6, 4, 12, 11, 5, 0, 2, 3, 8]","[(7, 450935), (9, 151813), (1, 209990), (6, 183082), (4, 223483), (12, 158066), (11, 187348), (5, 133884), (0, 182198), (2, 143007), (3, 120976), (8, 212252)]",196420,2357034,0.5263
2024-06-15,33,"[1, 4, 11, 5, 0, 2, 3, 8, 12, 9, 6, 7]","[(1, 209990), (4, 223483), (11, 187348), (5, 133884), (0, 182198), (2, 143007), (3, 120976), (8, 212252), (12, 154943), (9, 95710), (6, 109114), (7, 134770)]",158973,1907675,0.5789
2024-06-16,21,"[1, 5, 0, 8, 9, 6, 7, 3]","[(1, 209990), (5, 133884), (0, 182198), (8, 212252), (9, 95710), (6, 109114), (7, 134770), (3, 161432)]",154919,1239350,0.3684
2024-06-17,16,"[1, 0, 8, 6, 7, 3, 9]","[(1, 209990), (0, 182198), (8, 212252), (6, 109114), (7, 134770), (3, 161432), (9, 215170)]",174989,1224926,0.2807
2024-06-18,18,"[1, 7, 3, 9, 2, 12, 6, 8]","[(1, 209990), (7, 134770), (3, 161432), (9, 215170), (2, 236709), (12, 142505), (6, 88422), (8, 132186)]",165148,1321184,0.3158
2024-06-19,26,"[1, 7, 3, 9, 12, 6, 8, 5, 4, 2]","[(1, 209990), (7, 134770), (3, 161432), (9, 215170), (12, 142505), (6, 88422), (8, 132186), (5, 145625), (4, 157505), (2, 97458)]",148506,1485063,0.4561
2024-06-20,29,"[1, 3, 9, 6, 8, 5, 4, 2, 7, 11, 12]","[(1, 209990), (3, 161432), (9, 215170), (6, 88422), (8, 132186), (5, 145625), (4, 157505), (2, 97458), (7, 175226), (11, 208022), (12, 124524)]",155960,1715560,0.5088
2024-06-21,30,"[1, 3, 9, 5, 4, 2, 7, 11, 12, 6, 8, 0]","[(1, 209990), (3, 161432), (9, 215170), (5, 145625), (4, 157505), (2, 97458), (7, 175226), (11, 208022), (12, 124524), (6, 194841), (8, 449993), (0, 182524)]",193526,2322310,0.5263
2024-06-22,30,"[1, 3, 9, 5, 4, 2, 7, 11, 12, 6, 8, 0]","[(1, 209990), (3, 161432), (9, 215170), (5, 145625), (4, 157505), (2, 97458), (7, 175226), (11, 208022), (12, 124524), (6, 194841), (8, 449993), (0, 182524)]",193526,2322310,0.5263
2024-06-23,17,"[1, 3, 6, 8, 0, 2, 9]","[(1, 209990), (3, 161432), (6, 194841), (8, 449993), (0, 182524), (2, 77081), (9, 131071)]",200990,1406932,0.2982
2024-06-24,17,"[1, 3, 0, 2, 9, 5, 4, 12]","[(1, 209990), (3, 161432), (0, 182524), (2, 77081), (9, 131071), (5, 84294), (4, 181373), (12, 130374)]",144767,1158139,0.2982
2024-06-25,17,"[1, 5, 4, 12, 8, 11, 2, 6]","[(1, 209990), (5, 84294), (4, 181373), (12, 130374), (8, 396560), (11, 295492), (2, 224457), (6, 136403)]",207368,1658943,0.2982
2024-06-26,18,"[1, 5, 4, 12, 8, 11, 2, 6, 0]","[(1, 209990), (5, 84294), (4, 181373), (12, 130374), (8, 396560), (11, 295492), (2, 224457), (6, 136403), (0, 273298)]",214693,1932241,0.3158
2024-06-27,24,"[1, 12, 11, 2, 6, 0, 9, 8, 7, 3]","[(1, 209990), (12, 130374), (11, 295492), (2, 224457), (6, 136403), (0, 273298), (9, 123625), (8, 244155), (7, 325714), (3, 153471)]",211698,2116979,0.4211
2024-06-28,28,"[1, 2, 6, 9, 8, 7, 3, 11, 5]","[(1, 209990), (2, 224457), (6, 136403), (9, 123625), (8, 244155), (7, 325714), (3, 153471), (11, 114339), (5, 96523)]",180964,1628677,0.4912
2024-06-29,32,"[6, 9, 8, 7, 3, 11, 5, 2, 1, 0, 4]","[(6, 136403), (9, 123625), (8, 244155), (7, 325714), (3, 153471), (11, 114339), (5, 96523), (2, 106920), (1, 233255), (0, 276323), (4, 98230)]",173542,1908958,0.5614
2024-06-30,24,"[8, 7, 3, 5, 2, 1, 0, 4, 6, 9, 12]","[(8, 244155), (7, 325714), (3, 153471), (5, 96523), (2, 106920), (1, 233255), (0, 276323), (4, 98230), (6, 182496), (9, 152991), (12, 132114)]",182017,2002192,0.4211
2024-07-01,25,"[7, 3, 1, 0, 4, 6, 9, 12, 8, 2, 5]","[(7, 325714), (3, 153471), (1, 233255), (0, 276323), (4, 98230), (6, 182496), (9, 152991), (12, 132114), (8, 140274), (2, 125304), (5, 152160)]",179303,1972332,0.4386
2024-07-02,28,"[3, 0, 4, 9, 12, 8, 2, 5, 6, 7, 11]","[(3, 153471), (0, 276323), (4, 98230), (9, 152991), (12, 132114), (8, 140274), (2, 125304), (5, 152160), (6, 220373), (7, 121868), (11, 180293)]",159400,1753401,0.4912
2024-07-03,24,"[3, 12, 2, 5, 6, 7, 11, 0, 4]","[(3, 153471), (12, 132114), (2, 125304), (5, 152160), (6, 220373), (7, 121868), (11, 180293), (0, 124936), (4, 160377)]",152322,1370896,0.4211
2024-07-04,32,"[3, 12, 2, 5, 6, 7, 11, 0, 4, 9, 8, 1]","[(3, 153471), (12, 132114), (2, 125304), (5, 152160), (6, 220373), (7, 121868), (11, 180293), (0, 124936), (4, 160377), (9, 144862), (8, 264931), (1, 206638)]",165611,1987327,0.5614
2024-07-05,30,"[3, 12, 5, 11, 4, 9, 8, 1, 2, 6, 0, 7]","[(3, 153471), (12, 132114), (5, 152160), (11, 180293), (4, 160377), (9, 144862), (8, 264931), (1, 206638), (2, 386911), (6, 120808), (0, 148362), (7, 234862)]",190482,2285789,0.5263
2024-07-06,32,"[3, 12, 5, 4, 9, 8, 1, 2, 6, 0, 7, 11]","[(3, 153471), (12, 132114), (5, 152160), (4, 160377), (9, 144862), (8, 264931), (1, 206638), (2, 386911), (6, 120808), (0, 148362), (7, 234862), (11, 88028)]",182794,2193524,0.5614
2024-07-07,27,"[12, 4, 9, 8, 1, 7, 11, 2, 5, 6]","[(12, 132114), (4, 160377), (9, 144862), (8, 264931), (1, 206638), (7, 234862), (11, 88028), (2, 110732), (5, 66224), (6, 95561)]",150433,1504329,0.4737
2024-07-08,26,"[12, 8, 1, 7, 11, 2, 5, 6, 0, 9]","[(12, 132114), (8, 264931), (1, 206638), (7, 234862), (11, 88028), (2, 110732), (5, 66224), (6, 95561), (0, 206925), (9, 147971)]",155399,1553986,0.4561
2024-07-09,23,"[12, 1, 7, 5, 6, 0, 9, 2, 3, 4]","[(12, 132114), (1, 206638), (7, 234862), (5, 66224), (6, 95561), (0, 206925), (9, 147971), (2, 114711), (3, 223407), (4, 113124)]",154154,1541537,0.4035
2024-07-10,22,"[12, 1, 9, 2, 3, 4, 8, 0, 11, 5]","[(12, 132114), (1, 206638), (9, 147971), (2, 114711), (3, 223407), (4, 113124), (8, 512572), (0, 261585), (11, 113206), (5, 97827)]",192316,1923155,0.386
2024-07-11,26,"[9, 3, 4, 8, 0, 11, 5, 2, 1, 7, 6]","[(9, 147971), (3, 223407), (4, 113124), (8, 512572), (0, 261585), (11, 113206), (5, 97827), (2, 323148), (1, 282523), (7, 216714), (6, 178090)]",224561,2470167,0.4561
2024-07-12,24,"[3, 4, 11, 5, 2, 1, 7, 6, 0, 12]","[(3, 223407), (4, 113124), (11, 113206), (5, 97827), (2, 323148), (1, 282523), (7, 216714), (6, 178090), (0, 353985), (12, 105212)]",200724,2007236,0.4211
2024-07-13,29,"[11, 5, 2, 1, 7, 6, 0, 12, 9, 3, 8, 4]","[(11, 113206), (5, 97827), (2, 323148), (1, 282523), (7, 216714), (6, 178090), (0, 353985), (12, 105212), (9, 142784), (3, 148938), (8, 381668), (4, 120252)]",205362,2464347,0.5088
2024-07-14,30,"[0, 12, 9, 3, 8, 4, 2, 6, 1, 7, 11]","[(0, 353985), (12, 105212), (9, 142784), (3, 148938), (8, 381668), (4, 120252), (2, 131390), (6, 103072), (1, 133232), (7, 125521), (11, 191717)]",176161,1937771,0.5263
2024-07-15,31,"[3, 8, 4, 2, 6, 1, 7, 11, 9, 5]","[(3, 148938), (8, 381668), (4, 120252), (2, 131390), (6, 103072), (1, 133232), (7, 125521), (11, 191717), (9, 120128), (5, 106176)]",156209,1562094,0.5439
2024-07-16,28,"[3, 8, 4, 7, 11, 9, 5, 2, 6, 0, 1]","[(3, 148938), (8, 381668), (4, 120252), (7, 125521), (11, 191717), (9, 120128), (5, 106176), (2, 172006), (6, 106158), (0, 126238), (1, 245582)]",167671,1844384,0.4912
2024-07-17,25,"[4, 11, 5, 2, 6, 0, 1, 3, 7, 8]","[(4, 120252), (11, 191717), (5, 106176), (2, 172006), (6, 106158), (0, 126238), (1, 245582), (3, 98945), (7, 161710), (8, 273158)]",160194,1601942,0.4386
